"GEO_ID","NAME","AREALAND","AREAWATR","AREALAND_SQMI","AREAWATR_SQMI","INTPTLAT","INTPTLON",
"Geographic Identifier","Geographic Area Name","Area (Land, in square meters)","Area (Water, in square meters)","Area (Land, in square miles)","Area (Water, in square miles)","Internal Point (Latitude)","Internal Point (Longitude)",
"0400000US01","Alabama","131185049346","4582326383","50650.833","1769.246","33.0865484","-86.7407145",
"0400000US02","Alaska","1479016910296","245347100126","571051.646","94729.049","60.9867581","-147.9925203",
"0400000US04","Arizona","294366106734","854003932","113655.394","329.733","33.6891723","-111.7958301",
"0400000US05","Arkansas","134660466558","3122251184","51992.699","1205.508","35.0371928","-92.5375623",
"0400000US06","California","403673296401","20291770234","155859.138","7834.697","36.0856078","-119.6569341",
"0400000US08","Colorado","268418756810","1185758065","103637.066","457.824","39.3545703","-105.2764060",
"0400000US09","Connecticut","12541750274","1816364426","4842.397","701.302","41.5173030","-72.8179659",
"0400000US10","Delaware","5046703781","1399207462","1948.543","540.237","39.1948660","-75.4962983",
"0400000US11","District of Columbia","158316184","18709787","61.126","7.224","38.9118228","-77.0137447",
"0400000US12","Florida","138963763779","45970528648","53654.211","17749.321","28.1378410","-81.9921921",
"0400000US13","Georgia","149485311347","4419673221","57716.604","1706.445","32.9923803","-83.6233567",
"0400000US15","Hawaii","16634423916","11777375352","6422.587","4547.270","20.9048347","-157.0192122",
"0400000US16","Idaho","214049886849","2391614331","82645.127","923.407","44.2878642","-114.8853436",
"0400000US17","Illinois","143778366814","6216688589","55513.140","2400.277","40.7047919","-88.7463182",
"0400000US18","Indiana","92786613552","1543998356","35825.113","596.141","40.0930518","-86.2756902",
"0400000US19","Iowa","144659283871","1086402333","55853.264","419.462","42.0078551","-93.3984994",
"0400000US20","Kansas","211753777631","1345707708","81758.594","519.581","38.4325853","-97.3279577",
"0400000US21","Kentucky","102266598312","2384223544","39485.356","920.554","37.6414592","-85.3503819",
"0400000US22","Louisiana","111930452904","23721187320","43216.591","9158.802","30.8451782","-91.6770217",
"0400000US23","Maine","79888284131","11745177995","30845.040","4534.839","44.7011245","-69.4646970",
"0400000US24","Maryland","25151736098","6979330958","9711.140","2694.735","39.1133928","-76.7694783",
"0400000US25","Massachusetts","20204345054","7130705555","7800.942","2753.181","42.2396624","-71.4086360",
"0400000US26","Michigan","146619947556","103866186527","56610.281","40102.961","43.2873343","-84.6066932",
"0400000US27","Minnesota","206244555303","18937471947","79631.471","7311.799","45.5264015","-94.0798839",
"0400000US28","Mississippi","121533540877","3914738613","46924.364","1511.489","32.6275367","-89.5748459",
"0400000US29","Missouri","178052260322","2487519141","68746.365","960.437","38.4135001","-92.5078426",
"0400000US30","Montana","376973185941","3867177570","145550.167","1493.126","46.9447491","-110.8141666",
"0400000US31","Nebraska","198949602728","1379309601","76814.874","532.554","41.2129658","-98.2032476",
"0400000US32","Nevada","284537045712","1839880833","109860.372","710.382","38.1730591","-116.6385966",
"0400000US33","New Hampshire","23190126365","1025956733","8953.758","396.124","43.3541629","-71.5222162",
"0400000US34","New Jersey","19049183398","3532816229","7354.931","1364.028","40.3127907","-74.4996396",
"0400000US35","New Mexico","314198587197","726463919","121312.758","280.489","34.5944072","-106.1814632",
"0400000US36","New York","122049078273","19256833049","47123.415","7435.105","42.1258243","-75.1596517",
"0400000US37","North Carolina","125935880061","13453540851","48624.117","5194.441","35.5184052","-79.6746325",
"0400000US38","North Dakota","178694342677","4414747947","68994.274","1704.544","47.4796297","-100.0224178",
"0400000US39","Ohio","105823831336","10274524796","40858.811","3967.016","40.4202813","-82.7404220",
"0400000US40","Oklahoma","177664484361","3373395450","68596.644","1302.475","35.5658882","-97.1023785",
"0400000US41","Oregon","248630419895","6168960338","95996.746","2381.849","44.4207515","-122.0220353",
"0400000US42","Pennsylvania","115881839569","3397855215","44742.230","1311.919","40.5869403","-77.3684875",
"0400000US44","Rhode Island","2677763372","1323686976","1033.890","511.078","41.7256361","-71.4591564",
"0400000US45","South Carolina","77866000436","5074443652","30064.232","1959.254","33.9840276","-80.9578942",
"0400000US46","South Dakota","196341525171","3387709166","75807.890","1308.002","44.2037487","-98.8932145",
"0400000US47","Tennessee","106792311478","2322248149","41232.744","896.625","35.8141567","-86.1871728",
"0400000US48","Texas","676686238592","18982083586","261270.029","7329.024","31.2589240","-97.8639626",
"0400000US49","Utah","213921849163","5963196691","82595.691","2302.403","39.9363257","-111.8690210",
"0400000US50","Vermont","23872589127","1030648383","9217.259","397.936","44.0361584","-72.7070974",
"0400000US51","Virginia","102258163252","8528087616","39482.099","3292.713","37.6160725","-78.2984769",
"0400000US53","Washington","172118778986","12548923076","66455.435","4845.166","47.3426652","-121.1305709",
"0400000US54","West Virginia","62266499712","489003081","24041.231","188.805","38.7711281","-80.7492715",
"0400000US55","Wisconsin","140292627460","29343084365","54167.289","11329.429","44.0974923","-89.5172745",
"0400000US56","Wyoming","251458162746","1868053273","97088.544","721.259","42.8214072","-107.1096400",
"0400000US72","Puerto Rico","8869031577","4922247037","3424.352","1900.490","18.2521647","-66.3917577",
